ID,Session Title,Presenter(s),Day,Track / Session,Time,Session Type,Status
1,The Conditions We Create: Justice-Centered Education and Who Becomes Possible,"Vincent C. Flewellen, MSW, EdD",Day 1,Main Session,9:15–10:15 AM,Keynote,
2,"When Policy Enters the Classroom: School Funding, Testing, Screen Time, and the Real Conditions for Student Success","State Rep. Kem Smith, Ed.D.",Day 2,Main Session,9:15–10:15 AM,Keynote,
3,"Panel — ""Whose Voice Is Not Being Heard?""",Masa Massenberg Rosati Kain (Principal); Charles Smith (My Life in a Bag); Makeesha Coleman (Envision Learning Hub); Mike LaBrot; Corteiga Collins,Day 3,Main Session,9:15–10:15 AM,Panel,
4,"Partnering with Families of Neurodivergent Students: Building Trust, Consistency, and Collaboration","Leslie T. Tolliver, JD, SHRM-CP",Day 1,AM – Session A,10:30–12:00 PM,Breakout,
5,Culturally Responsive Teaching: Recognizing Bias to Better Serve Students,Anissa Williams,Day 1,AM – Session B,10:30–12:00 PM,Breakout,
6,"Teaching Students, Not Just Subjects: Reframing Classroom Practice Through Student-Centered Learning",Dr. Ken Patterson,Day 1,AM – Session C,10:30–12:00 PM,Breakout,
7,Empathy & Restoring Harm: You Can't Have One without the Other,"Brittany Hogan, MSW, ASCW; Jennifer Strauser",Day 1,AM – Session D,10:30–12:00 PM,Breakout,
8,Why is St. Louis So Segregated? How Past Housing Discrimination Shaped Districts,Dr. Amy Shelton,Day 1,AM – Session E,10:30–12:00 PM,Breakout,
9,From Idea to Action: Building a Student-Centered Culture that Lasts,Kwira Vickers; Jessica Pachak,Day 1,AM – Session F,10:30–12:00 PM,Breakout,
10,Words That Matter: Using Gender-Affirming Language to Support LGBTQ+ Students,"Jess Jones, MA",Day 1,PM – Session A,1:15–2:45 PM,Breakout,
11,"Breathe, Balance, Belonging: Healing-Centered Practices for Justice-Centered Education","Chelesa S. Holden, LMSW",Day 1,PM – Session B,1:15–2:45 PM,Breakout,
12,Liberate Your Leadership: A 5-Step Formula to Unlock the Leader Within,April Warren-Grice,Day 1,PM – Session C,1:15–2:45 PM,Breakout,
13,Weaving Justice: Cultivating Identity and Sustainable DEIJ in PreK-6 Classrooms,Jonelle R. Harris,Day 1,PM – Session D,1:15–2:45 PM,Breakout,
14,Exploring Human Interactions,Anissa Williams; Dr. Jeremy Mapp; Roberta McWoods,Day 1,PM – Session E,1:15–2:45 PM,Breakout,
15,Building Life Skills Through Journaling: Creative Reflection as a Tool for Education,Arkayla Tenney-Howard,Day 1,PM – Session F,1:15–2:45 PM,Breakout,
16,Making Math Accessible: Best Practices for Educating Emergent Bilingual Learners,Dr. Courtney Vahle,Day 2,AM – Session B,10:30–12:00 PM,Breakout,
17,Building Equity Through STEM Project-Based Learning in Rocketry,Nurlan Sherimbekov,Day 2,AM – Session C,10:30–12:00 PM,Breakout,
18,Bridging the Digital Divide: Empowering Justice-Centered Education Through Positive AI,Omar Perkins,Day 2,AM – Session D,10:30–12:00 PM,Breakout,
19,From Access to Belonging: Designing Systems for All Learners,"Kacee Mann, Ed.S., NCSP",Day 2,AM – Session E,10:30–12:00 PM,Breakout,
20,"Dangerous Learning: Literacy, Truth, and Liberation through Curriculum",Dr. Zacheriah T. Davis,Day 2,AM – Session F,10:30–12:00 PM,Breakout,
21,"Building Instructional Coherence: A Justice-Centered Approach to Teacher Practice, Engagement, and Coaching","Dr. Pallavi Aggarwal, Ed.D.; Laura Myers",Day 2,PM – Session A,1:15–2:45 PM,Breakout,Confirmed
22,University City's Rising Tide: How We Got Every Classroom Rowing Together,Brad White; Dr. Sharonica Hardin; Dr. Elizabeth Gardner,Day 2,PM – Session B,1:15–2:45 PM,Breakout,Confirmed
23,Using Weekly Fidelity Data to Inform Decision Making,Dr. Meghan Hill; Dr. Lisa Tariq; Ms. Coumba Gueye; Dr. Taylor Lawson-Smith,Day 2,PM – Session C,1:15–2:45 PM,Breakout,Confirmed
24,Improving Teacher Support of Students with Anxiety in Catholic Elementary Schools,Dr. Kerry Smigielski,Day 2,PM – Session E,1:15–2:45 PM,Breakout,Confirmed
25,Youth Financial Literacy,Adam L. Layne,Day 2,PM – Session F,1:15–2:45 PM,Breakout,Confirmed
26,The Roots of Connection: Pruning for Justice-Centered Leadership,"Herman Armstrong, MBA, MTS",Day 3,AM – Session A,10:30–12:00 PM,Breakout,
27,From Compliance to Culture: Building Justice-Centered Systems that Strengthen Schools and Protect Student Futures,"Urail S. Williams, MBA; Damon Selvey",Day 3,AM – Session B,10:30–12:00 PM,Breakout,
28,Justice in Practice: How Schools and Leaders Navigate Discipline Challenges,Dr. Pallavi Chhabra; Dr. Kacy Shahid,Day 3,AM – Session C,10:30–12:00 PM,Breakout,
29,When the Complaint Lands on Your Desk: A Practical Framework for K–12 Leaders on Engaging Outside Counsel,"Dr. Dwayne E. Smith, Esq., Ed.D., SHRM-SCP, AWI-CH",Day 3,AM – Session D,10:30–12:00 PM,Breakout,
30,Research to Action: Effective Reading Strategies in Every Classroom,Antonio Pacifico,Day 3,AM – Session E,10:30–12:00 PM,Breakout,
31,"Supporting Student Success: IEPs, Behavior, and School Discipline",Hayley Chartier,Day 3,AM – Session F,10:30–12:00 PM,Breakout,
32,Stop Burning Out: The Unfreeze Formula for ADHD Educators,"Amy Latta, Master Certified Feminist Coach",Day 3,PM – Session B,1:15–2:45 PM,Breakout,
33,Partnering for Change: Strategies for Leaders to Partner for Growth,Dr. Pete White; Dr. Susan Marino,Day 3,PM – Session C,1:15–2:45 PM,Breakout,
34,Belonging by Design: Building Just and Sustainable School Systems,Makeesha Coleman; Whitni Perry; Aniya Goodrich,Day 3,PM – Session D,1:15–2:45 PM,Breakout,
35,Check Your BS®: When Comfort Gets in the Way of Equity,Coach Shaquan,Day 3,PM – Session E,1:15–2:45 PM,Breakout,
36,Saving the Planet through School Sustainability: How Green Schools Impact People & Planet,Dr. Deborah Rogers Curtis,Day 3,PM – Session F,1:15–2:45 PM,Breakout,
