Session_ID,Day,Session_Type,Start_Time,End_Time,Time,Room,Session_Title,Presenter,Description,Track,Tags,Image,Bio
1,Day 1,Keynote,9:15,10:15 AM,9:15–10:15 AM,Cook Hall Anheuser-Busch Auditorium,,,,Main Session,,,
2,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 256,,,,AM – Session A,,,
3,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 260,,,,AM – Session B,,,
4,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 273,,,,AM – Session C,,,
5,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 274,,,,AM – Session D,,,
6,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,Cook Hall Anheuser-Busch Auditorium,,,,AM – Session E,,,
7,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 271,,,,AM – Session F,,,
8,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 256,,,,PM – Session A,,,
9,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 260,,,,PM – Session B,,,
10,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 273,,,,PM – Session C,,,
11,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 274,,,,PM – Session D,,,
12,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,Cook Hall Anheuser-Busch Auditorium,,,,PM – Session E,,,
13,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 271,,,,PM – Session F,,,
