Session_ID,Day,Session_Type,Start_Time,End_Time,Time,Room,Session_Title,Presenter,Description,Track,Tags,Image,Bio
1,Day 2,Keynote,9:15,10:15 AM,9:15–10:15 AM,Cook Hall Anheuser-Busch Auditorium,,,,Main Session,,,
12,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Cook Hall Anheuser-Busch Auditorium,,,,AM – Session A,,,
2,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 256,,,,AM – Session B,,,
3,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 260,,,,AM – Session C,,,
4,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 273,,,,AM – Session D,,,
5,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 274,,,,AM – Session E,,,
6,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 271,,,,AM – Session F,,,
13,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Cook Hall Anheuser-Busch Auditorium,,,,PM – Session A,,,
7,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 256,,,,PM – Session A,,,
8,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 260,,,,PM – Session B,,,
9,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 273,,,,PM – Session C,,,
10,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 274,,,,PM – Session E,,,
11,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 271,,,,PM – Session F,,,
